contract_id,language,clause_id,clause_text,label,clause_text_clean
C001,ar,1.a,يعين صاحب العمل الموظف بموجب هذا العقد للعمل لديه بوظيفة محددة، ويوافق الموظف على أداء واجبات الوظيفة وأي مهام أخرى يكلفه بها صاحب العمل.,duties,يعين صاحب العمل الموظف بموجب هذا العقد للعمل لديه بوظيفة محددة، ويوافق الموظف علي اداء واجبات الوظيفة واي مهام اخري يكلفه بها صاحب العمل.
C001,en,1.a,The Employer hereby engages the Employee to work in a specified position and the Employee agrees to perform the job duties and any additional tasks assigned.,duties,The Employer hereby engages the Employee to work in a specified position and the Employee agrees to perform the job duties and any additional tasks assigned.
C001,ar,1.b,يخضع التوظيف لاجتياز الفحص الطبي والحصول على موافقات وزارة التعليم والالتحاق بالعمل في التاريخ المحدد.,general,يخضع التوظيف لاجتياز الفحص الطبي والحصول علي موافقات وزارة التعليم والالتحاق بالعمل في التاريخ المحدد.
C001,en,1.b,"Employment is conditional upon medical clearance, required approvals from the Ministry of Education, and reporting to work by the specified date.",general,"Employment is conditional upon medical clearance, required approvals from the Ministry of Education, and reporting to work by the specified date."
C001,ar,2.a,الراتب الشهري الأساسي للموظف محدد بالريال السعودي ويشمل جميع أيام الشهر بما فيها العطل الرسمية.,salary_terms,الراتب الشهري الاساسي للموظف محدد بالريال السعودي ويشمل جميع ايام الشهر بما فيها العطل الرسمية.
C001,en,2.a,The Employee’s base monthly salary is fixed in Saudi Riyals and includes all days of the month including official holidays.,salary_terms,The Employee’s base monthly salary is fixed in Saudi Riyals and includes all days of the month including official holidays.
C001,ar,2.b,يتم صرف الراتب الشهري مع البدلات بعد خصم الاستقطاعات المستحقة في الأسبوع الأول من كل شهر.,salary_terms,يتم صرف الراتب الشهري مع البدلات بعد خصم الاستقطاعات المستحقة في الاسبوع الاول من كل شهر.
C001,en,2.b,The monthly salary plus allowances minus deductions shall be paid during the first week of each month.,salary_terms,The monthly salary plus allowances minus deductions shall be paid during the first week of each month.
C001,ar,4.1,يعتبر هذا العقد محدد المدة لمدة سنة ميلادية واحدة قابلة للتجديد.,contract_duration,يعتبر هذا العقد محدد المدة لمدة سنة ميلادية واحدة قابلة للتجديد.
C001,en,4.1,This contract is for a definite period of one Gregorian year and is renewable.,contract_duration,This contract is for a definite period of one Gregorian year and is renewable.
C001,ar,4.2,يكون الموظف تحت التجربة لمدة ثلاثة أشهر ويجوز تمديدها ويحق لصاحب العمل إنهاؤها دون إبداء أسباب.,probation,يكون الموظف تحت التجربة لمدة ثلاثة اشهر ويجوز تمديدها ويحق لصاحب العمل انهاوها دون ابداء اسباب.
C001,en,4.2,"The Employee shall be on probation for the first three months, which may be extended, and the Employer may terminate during probation without cause.",probation,"The Employee shall be on probation for the first three months, which may be extended, and the Employer may terminate during probation without cause."
C001,ar,5.1,يتعهد الموظف بالالتزام بسياسات وتعليمات صاحب العمل والأنظمة المعمول بها في المملكة.,duties,يتعهد الموظف بالالتزام بسياسات وتعليمات صاحب العمل والانظمة المعمول بها في المملكة.
